filename,rmse,condition,region,month,fractional_forest_cover,season
LC09_20220601_FSC35_63.27977439601566_-128.41162512048788.tif,0.1449235401968148,clear,rockies,6,0.3274,late
LC09_20220601_FSC35_63.85937632183175_-128.1299782497365.tif,0.1492459443665396,clear,rockies,6,0.0197,late
LC09_20220601_FSC39_62.46123296504572_-127.68034873751857.tif,0.1987243176321592,clear,rockies,6,0.5758,late
LC09_20220601_FSC43_63.235663423999895_-127.79118482562654.tif,0.2730125732509109,clear,rockies,6,0.0,late
LC09_20220601_FSC44_62.998119632954676_-125.87426958034885.tif,0.2821361959703274,clear,rockies,6,0.0,late
LC09_20220601_FSC44_63.55857642982597_-127.60157049849987.tif,0.2357663307999487,clear,rockies,6,0.0,late
LC09_20220601_FSC45_63.86983774958871_-128.09792392384708.tif,0.2704538696885202,clear,rockies,6,0.0,late
LC09_20220601_FSC46_63.47467802570764_-128.25129128573795.tif,0.1466186028521178,clear,rockies,6,0.0007,late
LC09_20220601_FSC47_63.68447975164486_-128.4099745213702.tif,0.2587555748450553,clear,rockies,6,0.0,late
LC09_20220601_FSC47_63.79514790754633_-127.501369019781.tif,0.2389740260166877,clear,rockies,6,0.0,late
LC09_20220601_FSC48_62.67130741614106_-127.8869572250386.tif,0.1677395666443172,clear,rockies,6,0.319,late
LC09_20220601_FSC48_62.829016613615394_-128.03495312361824.tif,0.170230444791758,clear,rockies,6,0.1347,late
LC09_20220601_FSC49_62.92017935917442_-128.09993820928338.tif,0.1927796831662972,clear,rockies,6,0.0955,late
LC09_20220601_FSC4_61.97982285232705_-127.08457822645681.tif,0.1409965832937038,clear,rockies,6,0.4878,late
LC09_20220601_FSC4_63.132598748631_-127.58480102572813.tif,0.1170711020129018,clear,rockies,6,0.0011,late
LC09_20220601_FSC4_63.319726296119825_-127.27107259125627.tif,0.1715830129057142,clear,rockies,6,0.0371,late
LC09_20220601_FSC54_62.4582197446923_-125.9158803470736.tif,0.1367471764593079,clear,rockies,6,0.0056,late
LC09_20220601_FSC56_62.58721438632247_-127.52991035275703.tif,0.2070621833187952,clear,rockies,6,0.0,late
LC09_20220601_FSC56_62.60822843487759_-127.49402153440322.tif,0.2161647154483298,clear,rockies,6,0.0,late
LC09_20220601_FSC56_62.69668645185557_-125.81253100374568.tif,0.2081480618748061,clear,rockies,6,0.0,late
LC09_20220601_FSC56_63.045254570316835_-126.13047482180012.tif,0.2291587262519852,clear,rockies,6,0.002,late
LC09_20220601_FSC57_62.69596513211129_-127.75526765736208.tif,0.2052530101937844,clear,rockies,6,0.0258,late
LC09_20220601_FSC57_63.04767641189977_-125.78762637758165.tif,0.1884991726346412,clear,rockies,6,0.0,late
LC09_20220601_FSC57_63.57644920736047_-128.67581615820225.tif,0.1357800683856193,clear,rockies,6,0.1921,late
LC09_20220601_FSC59_62.260782980466075_-128.5738262119627.tif,0.2201565146833301,clear,rockies,6,0.2221,late
LC09_20220601_FSC59_62.29983021691086_-128.74762367403633.tif,0.131458482564007,clear,rockies,6,0.3765,late
LC09_20220601_FSC5_63.021609781521185_-127.68185175099063.tif,0.1698435808200865,clear,rockies,6,0.233,late
LC09_20220601_FSC61_62.30860388321177_-129.39479937662207.tif,0.2183615986665411,clear,rockies,6,0.8949,late
LC09_20220601_FSC61_62.48608348288503_-128.55665171609402.tif,0.1561983489842474,clear,rockies,6,0.1922,late
LC09_20220601_FSC62_62.35381857497002_-128.77134570424923.tif,0.0966076882231583,clear,rockies,6,0.7293,late
LC09_20220601_FSC62_63.17014748334218_-128.7911269764369.tif,0.0969875177315358,clear,rockies,6,0.0,late
LC09_20220601_FSC64_63.30135307125528_-127.32590241481026.tif,0.1775401181858086,clear,rockies,6,0.0001,late
LC09_20220601_FSC68_62.77450789728474_-126.26765302202854.tif,0.20758740156451,clear,rockies,6,0.0,late
LC09_20220601_FSC69_62.15404727480383_-127.6682412961466.tif,0.1958576379191765,clear,rockies,6,0.0198,late
LC09_20220601_FSC69_62.28750827346057_-127.55036179098144.tif,0.116000030561087,clear,rockies,6,0.1572,late
LC09_20220601_FSC69_63.10264483443739_-128.6808488391414.tif,0.3269883433284301,clear,rockies,6,0.0,late
LC09_20220601_FSC69_63.44963478721378_-128.4948818399446.tif,0.1654399885015356,clear,rockies,6,0.0,late
LC09_20220601_FSC6_63.11318455229443_-126.26079065801845.tif,0.1478165060283872,clear,rockies,6,0.1075,late
LC09_20220601_FSC71_63.08601465211459_-127.90915646508242.tif,0.2165112295538936,clear,rockies,6,0.0,late
LC09_20220601_FSC72_62.42795420313293_-125.7898299785367.tif,0.183504517853981,clear,rockies,6,0.0,late
LC09_20220601_FSC72_63.13143444638869_-127.94900394447447.tif,0.135435369862363,clear,rockies,6,0.0,late
LC09_20220601_FSC73_62.64071420823604_-128.27467148222166.tif,0.175007742547235,clear,rockies,6,0.0,late
LC09_20220601_FSC73_63.18882352214192_-128.27951638984834.tif,0.1576995751740702,clear,rockies,6,0.0002,late
LC09_20220601_FSC74_62.9162699629429_-128.22175968101220.tif,0.291376125986632,clear,rockies,6,0.0,late
LC09_20220601_FSC75_62.59323176596894_-125.85500696765789.tif,0.1628901744223789,clear,rockies,6,0.0,late
LC09_20220601_FSC76_62.39291991204259_-126.74265362639146.tif,0.2047654588385387,clear,rockies,6,0.0082,late
LC09_20220601_FSC78_63.251524892555594_-127.85739953998247.tif,0.1100939867812376,clear,rockies,6,0.0,late
LC09_20220601_FSC78_63.34577762542946_-128.3661343700713.tif,0.1238714265081725,clear,rockies,6,0.0,late
LC09_20220601_FSC7_62.537254091693185_-128.01822342742165.tif,0.1611243656988287,clear,rockies,6,0.6604,late
LC09_20220601_FSC81_63.37800130486614_-128.3416492920158.tif,0.1698209718003267,clear,rockies,6,0.0038,late
LC09_20220601_FSC82_62.305339822179880_-129.4468252404279.tif,0.2246446894009963,clear,rockies,6,0.4952,late
LC09_20220601_FSC83_62.499997055180366_-127.61367890160847.tif,0.1277015647905106,clear,rockies,6,0.0,late
LC09_20220601_FSC84_63.489576854699465_-128.79472255500883.tif,0.0879882557313631,clear,rockies,6,0.0,late
LC09_20220601_FSC85_63.75881796781957_-128.3782650916547.tif,0.1238929177870229,clear,rockies,6,0.0,late
LC09_20220601_FSC87_62.471470907595354_-127.11443970956822.tif,0.1365352908262149,clear,rockies,6,0.0,late
LC09_20220601_FSC88_62.2974528094823_-126.9932145651617.tif,0.1805910694601253,clear,rockies,6,0.0,late
LC09_20220601_FSC88_62.376196636131034_-128.92322037374893.tif,0.1722723206382435,clear,rockies,6,0.241,late
LC09_20220601_FSC89_63.029682947906565_-128.94623699700526.tif,0.1185353669142559,clear,rockies,6,0.1622,late
LC09_20220601_FSC89_63.23975457209985_-128.21193286276568.tif,0.1035804082049893,clear,rockies,6,0.0,late
LC09_20220601_FSC92_62.741426470835950_-126.27392839928388.tif,0.1085645474803938,clear,rockies,6,0.0,late
LC09_20220601_FSC95_63.07205935203688_-127.98895208620218.tif,0.0645842289301402,clear,rockies,6,0.0,late
LC09_20220601_FSC97_62.75482229517325_-127.89155537261188.tif,0.0756186808394885,clear,rockies,6,0.0,late
LC09_20220601_FSC97_62.86374523341483_-126.21222783288572.tif,0.1339488603006005,clear,rockies,6,0.0,late
LC09_20220601_FSC97_63.22817495593018_-127.55225457123608.tif,0.090134242464863,clear,rockies,6,0.0,late
LC09_20220601_FSC97_63.236310001664755_-128.02286226002505.tif,0.076645756612022,clear,rockies,6,0.0003,late
LC09_20220601_FSC98_62.4119073463033160_-128.78200178636905.tif,0.0565769072114677,clear,rockies,6,0.2451,late
LC09_20220601_FSC98_63.029216205219580_-128.9886777649015.tif,0.0767827404254827,clear,rockies,6,0.0644,late
LC09_20220601_FSC98_63.05101515120917_-128.32659081897046.tif,0.023999296194216,clear,rockies,6,0.0014,late
LC09_20220601_FSC98_63.37354971456913_-127.31074053278454.tif,0.0684885403601191,clear,rockies,6,0.0,late
LC09_20220601_FSC9_62.03412602722888_-127.930114491972930.tif,0.2002364243807709,clear,rockies,6,0.3995,late
LC09_20220601_FSC9_62.71582627326322_-126.67291647722978.tif,0.1364773908969812,clear,rockies,6,0.0,late
LC09_20220601_FSC9_63.37463643047439_-125.9702591345629.tif,0.1228545454910404,clear,rockies,6,0.1565,late
LC09_20220807_FSC0_50.897604024447040_-116.9724689193193.tif,0.0012559005698292,clear,rockies,8,0.8412,summer
LC09_20220807_FSC0_51.05278310923235_-117.946416198411210.tif,0.0143533769640385,clear,rockies,8,0.9493,summer
LC09_20220807_FSC0_51.07158612346343_-116.80475236459688.tif,0.0174924734659124,clear,rockies,8,0.5871,summer
LC09_20220807_FSC0_51.24767738439809_-116.18180755498959.tif,0.0192599492208265,clear,rockies,8,0.1247,summer
LC09_20220807_FSC0_51.33484483331189_-118.280944434148.tif,0.024303378941513,clear,rockies,8,0.968,summer
LC09_20220807_FSC0_51.41732146574045_-118.27365622975688.tif,0.0217291932982246,clear,rockies,8,0.9156,summer
LC09_20220807_FSC0_51.5269516779208060_-117.97457917965333.tif,0.0164232248875877,clear,rockies,8,0.3361,summer
LC09_20220807_FSC0_51.902553493846874_-116.4586666642448.tif,0.0483289526905652,clear,rockies,8,0.0,summer
LC09_20220807_FSC0_52.1194940388042_-117.94979861712099.tif,0.0845365766263373,clear,rockies,8,0.1245,summer
LC09_20220807_FSC0_52.51906470945469_-116.97626028235061.tif,0.0008913473270421,clear,rockies,8,0.0224,summer
LC09_20220807_FSC11_51.62117428629945_-117.2166477642928.tif,0.1906416773886927,clear,rockies,8,0.0016,summer
LC09_20220807_FSC12_51.332889222090270_-117.78078083130116.tif,0.1935760076738095,clear,rockies,8,0.1699,summer
LC09_20220807_FSC12_51.349593517122166_-116.27014404076505.tif,0.1035547564769363,clear,rockies,8,0.0127,summer
LC09_20220807_FSC12_51.542355059556996_-118.01580718863501.tif,0.1252892574178244,clear,rockies,8,0.2164,summer
LC09_20220807_FSC13_50.86666937510208_-117.058332893589780.tif,0.1018059509691274,clear,rockies,8,0.0092,summer
LC09_20220807_FSC13_51.70963425467876_-117.8636819492074.tif,0.1282586685211174,clear,rockies,8,0.0837,summer
LC09_20220807_FSC14_51.78829824474023_-116.33853143518421.tif,0.1134017619298468,clear,rockies,8,0.0103,summer
LC09_20220807_FSC16_51.02648756697018_-117.31270459281062.tif,0.2431448818861425,clear,rockies,8,0.03,summer
LC09_20220807_FSC16_52.03383781079968_-116.76133512196371.tif,0.1943278264211604,clear,rockies,8,0.0044,summer
LC09_20220807_FSC17_52.09686004727483_-117.15431481758566.tif,0.1403743129229912,clear,rockies,8,0.0,summer
LC09_20220807_FSC1_51.08285946408907600_-117.557961595101930.tif,0.0447381353609001,clear,rockies,8,0.045,summer
LC09_20220807_FSC21_51.66976832284875000_-118.16277835083602.tif,0.1937006266239792,clear,rockies,8,0.17,summer
LC09_20220807_FSC21_51.827170735178804_-117.631147007880710.tif,0.1418816728154581,clear,rockies,8,0.0011,summer
LC09_20220807_FSC22_52.08894158490306_-116.81880415032524.tif,0.1538686850094323,clear,rockies,8,0.0008,summer
LC09_20220807_FSC24_51.07919671751985_-117.71944706360013.tif,0.156965181285369,clear,rockies,8,0.011,summer
LC09_20220807_FSC25_51.40249457684966_-116.39334803360474.tif,0.0793316883544123,clear,rockies,8,0.0093,summer
LC09_20220807_FSC28_51.178104242382716_-117.57908666128695.tif,0.1587440836284504,clear,rockies,8,0.0025,summer
LC09_20220807_FSC28_51.79060909945576_-116.48169794103221.tif,0.1340970745095887,clear,rockies,8,0.0578,summer
LC09_20220807_FSC29_50.86815960684008_-117.04595205008259.tif,0.1618284927966124,clear,rockies,8,0.0792,summer
LC09_20220807_FSC29_51.2142614779563_-118.36125205402249.tif,0.2066314141213644,clear,rockies,8,0.0081,summer
LC09_20220807_FSC29_52.64434047884469_-117.37123446746523.tif,0.1241557024148021,clear,rockies,8,0.0005,summer
LC09_20220807_FSC2_50.790355704164334_-116.99064379725036.tif,0.0735828654933609,clear,rockies,8,0.1678,summer
LC09_20220807_FSC2_51.5898133016401_-117.62479034639948.tif,0.1127928289681995,clear,rockies,8,0.0045,summer
LC09_20220807_FSC2_52.03319936667728_-118.08978796682176.tif,0.0551298636593187,clear,rockies,8,0.0612,summer
LC09_20220807_FSC32_51.834063563020564_-116.19852647575381.tif,0.0748592760081546,clear,rockies,8,0.0007,summer
LC09_20220807_FSC33_51.567334277719134_-117.68147564117196.tif,0.1454098689382482,clear,rockies,8,0.0,summer
LC09_20220807_FSC34_51.30974970457152_-117.93628570307261.tif,0.1849685197188706,clear,rockies,8,0.0,summer
