filename,r2,rmse
LC09_20220601_FSC0_62.112079200770296_-127.29199586477529.tif,0.0,0.0047196680679917336
LC09_20220601_FSC0_62.166221170268216_-128.57247850885486.tif,0.0,0.020131351426243782
LC09_20220601_FSC0_62.18421532808711_-127.47028563086914.tif,0.0,8.707297638466116e-07
LC09_20220601_FSC0_62.51065455503091_-126.62859103284484.tif,0.0,3.0460565540124662e-05
LC09_20220601_FSC0_63.009966293716010_-126.41165449350738.tif,0.0,3.774481956497766e-05
LC09_20220601_FSC0_63.35048562984995_-125.15032873232323.tif,0.0,1.3757134183833841e-05
LC09_20220601_FSC0_63.39721054291927_-128.8152481958677.tif,0.0,0.0489376001060009
LC09_20220601_FSC0_63.40509348262548_-125.21663473896167.tif,0.0,1.6603698895778507e-05
LC09_20220601_FSC0_63.59580179781564_-126.46292081098139.tif,0.0,3.726419436134165e-06
LC09_20220601_FSC0_63.66577994109205000_-126.75110469701099.tif,0.0,0.04819035902619362
LC09_20220601_FSC100_62.04035087293904_-128.04657542362335.tif,0.0,0.00031082326313480735
LC09_20220601_FSC100_62.119464514344465_-127.06124751576114.tif,0.0,0.0007226401357911527
LC09_20220601_FSC100_62.1638737182861_-126.18671681942135.tif,0.0,0.012828614562749863
LC09_20220601_FSC100_62.346168982088685_-127.21285458268186.tif,0.0,0.0015765876742079854
LC09_20220601_FSC100_62.46425075924468_-127.23135922918433.tif,0.0,0.005847449414432049
LC09_20220601_FSC100_62.74117720455269_-127.83799399489281.tif,0.0,0.0006935247802175581
LC09_20220601_FSC100_62.756773342141045_-126.3596412477801.tif,0.0,0.00034862200845964253
LC09_20220601_FSC100_62.763096768181526_-126.38382543543841.tif,0.0,0.0046849800273776054
LC09_20220601_FSC100_62.94186672254656_-127.74198920487426.tif,0.0,0.00010227185703115538
LC09_20220601_FSC100_62.98155974088732_-129.1812839780114.tif,0.0,0.006556265987455845
LC09_20220601_FSC11_62.63471586863044_-125.60088963706427.tif,0.7265281498816546,0.14564120769500732
LC09_20220601_FSC11_63.32032164092958_-126.04150207190968.tif,0.6439704339824882,0.18152739107608795
LC09_20220601_FSC12_62.76188926577228_-126.75804224443428.tif,0.8458381377058417,0.1237124428153038
LC09_20220601_FSC14_62.75962704337051_-126.45118543835494.tif,0.9030122624282368,0.10311781615018845
LC09_20220601_FSC14_62.85107355059424_-127.89119491873375.tif,0.9645234268361818,0.06222023069858551
LC09_20220601_FSC15_62.86483846347481_-126.48187885824542.tif,0.9334231261315876,0.08792945742607117
LC09_20220601_FSC15_63.341571874835516_-125.86429482946468.tif,0.896457845712652,0.10974356532096863
LC09_20220601_FSC16_63.84410150845041_-128.11493281028126.tif,0.9350506581565102,0.08994448930025101
LC09_20220601_FSC17_63.09006151172386_-127.083903991357230.tif,0.8792207857805842,0.11996404081583023
LC09_20220601_FSC18_63.13683650077514_-128.17155831369035.tif,0.9141501923042268,0.10733171552419662
LC09_20220601_FSC1_63.40546097802058_-128.49901105235705.tif,0.679093870167409,0.06002683937549591
LC09_20220601_FSC21_62.60079623665862_-128.8644809559888.tif,0.16590010576830638,0.3281998932361603
LC09_20220601_FSC21_63.24235744270556_-127.81283534145288.tif,0.9352628472525437,0.09732790291309357
LC09_20220601_FSC22_63.035131757740710_-127.23517215290404.tif,0.9105556951813137,0.11232727766036987
LC09_20220601_FSC24_63.03446072047654_-126.45127449774446.tif,0.933981201201043,0.1065918430685997
LC09_20220601_FSC24_63.487319002344044_-127.41502807633758.tif,0.9855396686205325,0.05010409280657768
LC09_20220601_FSC24_63.559652027699805_-126.69093771640617.tif,0.8553982546328952,0.14888767898082733
LC09_20220601_FSC25_62.194405388787835_-128.8107666952586.tif,0.9524208404025188,0.08899281173944473
LC09_20220601_FSC27_63.40558096694659_-127.93782702554353.tif,0.9798610452537503,0.06137210875749588
LC09_20220601_FSC28_62.340899548246554_-128.80665710169697.tif,0.9458384136910779,0.09693269431591034
LC09_20220601_FSC29_62.38861959350329_-128.7024634442372.tif,0.9231339805604525,0.11884782463312149
LC09_20220601_FSC31_62.71017722372829_-125.71804716855253.tif,0.8900464164590126,0.14326654374599457
LC09_20220601_FSC31_62.99776555163588_-128.92861186842856.tif,0.6861653183456822,0.2041958123445511
LC09_20220601_FSC31_62.99844795941342_-126.83943297831881.tif,0.847557767163612,0.1674540787935257
LC09_20220601_FSC31_63.685237509104354_-126.98549920568828.tif,0.9434674639366325,0.10327403992414474
LC09_20220601_FSC32_62.45731807405706_-128.62155471685614.tif,0.9644774101656369,0.08154024928808212
LC09_20220601_FSC33_62.68001100109032_-126.02202787352306.tif,0.9706680120368385,0.07494413107633591
LC09_20220601_FSC35_62.26242751487222_-127.51799559061737.tif,0.9405181630957931,0.10729321092367172
LC09_20220601_FSC35_63.27977439601566_-128.41162512048788.tif,0.909615859141839,0.12821228802204132
LC09_20220601_FSC35_63.85937632183175_-128.1299782497365.tif,0.9506345192693729,0.09771578758955002
LC09_20220601_FSC39_62.46123296504572_-127.68034873751857.tif,0.8995996571851553,0.14531166851520538
LC09_20220601_FSC43_63.235663423999895_-127.79118482562654.tif,0.7832541720325866,0.21211154758930206
LC09_20220601_FSC44_62.998119632954676_-125.87426958034885.tif,0.7539180125502958,0.2254636436700821
LC09_20220601_FSC44_63.55857642982597_-127.60157049849987.tif,0.835610272771026,0.16846296191215515
