cell_id,center_x,center_y,action
288,583863.8459204244,5696083.788334359,KEEP
289,679863.8459204244,5619083.788334359,DROP
290,653863.8459204244,5698083.788334359,KEEP
291,626863.8459204244,5676083.788334359,KEEP
292,683863.8459204244,5659083.788334359,DROP
293,701863.8459204244,5687083.788334359,DROP
294,571863.8459204244,5758083.788334359,KEEP
295,594863.8459204244,5601083.788334359,DROP
296,595863.8459204244,5728083.788334359,KEEP
297,552863.8459204244,5694083.788334359,KEEP
298,625863.8459204244,5760083.788334359,KEEP
299,674863.8459204244,5708083.788334359,DROP
300,653863.8459204244,5680083.788334359,KEEP
301,644863.8459204244,5619083.788334359,DROP
302,613863.8459204244,5690083.788334359,KEEP
303,564863.8459204244,5667083.788334359,KEEP
304,694863.8459204244,5731083.788334359,DROP
305,641863.8459204244,5746083.788334359,KEEP
306,619863.8459204244,5687083.788334359,KEEP
307,568863.8459204244,5631083.788334359,KEEP
308,635863.8459204244,5623083.788334359,KEEP
309,538863.8459204244,5606083.788334359,DROP
310,676863.8459204244,5625083.788334359,DROP
311,532863.8459204244,5628083.788334359,KEEP
312,593863.8459204244,5615083.788334359,DROP
313,577863.8459204244,5749083.788334359,KEEP
314,544863.8459204244,5639083.788334359,KEEP
315,556863.8459204244,5709083.788334359,KEEP
316,703863.8459204244,5638083.788334359,DROP
317,541863.8459204244,5726083.788334359,KEEP
318,626863.8459204244,5709083.788334359,KEEP
319,573863.8459204244,5756083.788334359,KEEP
320,611863.8459204244,5676083.788334359,KEEP
321,692863.8459204244,5627083.788334359,DROP
322,648863.8459204244,5653083.788334359,KEEP
323,602863.8459204244,5758083.788334359,KEEP
324,571863.8459204244,5602083.788334359,DROP
325,671863.8459204244,5706083.788334359,DROP
326,660863.8459204244,5697083.788334359,KEEP
327,652863.8459204244,5612083.788334359,DROP
328,574863.8459204244,5616083.788334359,DROP
329,543863.8459204244,5655083.788334359,KEEP
330,546863.8459204244,5619083.788334359,DROP
331,528863.8459204244,5684083.788334359,DROP
332,574863.8459204244,5737083.788334359,KEEP
333,587863.8459204244,5603083.788334359,DROP
334,672863.8459204244,5753083.788334359,DROP
