filename,r2,rmse,region,checkpoint_name
LC09_20220601_FSC0_62.112079200770296_-127.29199586477529.tif,0.0,0.0067987907677888,rockies,216tcxve
LC09_20220601_FSC0_62.166221170268216_-128.57247850885486.tif,0.0,0.0140397911891341,rockies,216tcxve
LC09_20220601_FSC0_62.18421532808711_-127.47028563086914.tif,0.0,0.0002892967022489,rockies,216tcxve
LC09_20220601_FSC0_62.51065455503091_-126.62859103284484.tif,0.0,0.0018360047833994,rockies,216tcxve
LC09_20220601_FSC0_63.009966293716010_-126.41165449350738.tif,0.0,0.0011630574008449,rockies,216tcxve
LC09_20220601_FSC0_63.35048562984995_-125.15032873232323.tif,0.0,0.0129915522411465,rockies,216tcxve
LC09_20220601_FSC0_63.39721054291927_-128.8152481958677.tif,0.0,0.0119579434394836,rockies,216tcxve
LC09_20220601_FSC0_63.40509348262548_-125.21663473896167.tif,0.0,0.0087079880759119,rockies,216tcxve
LC09_20220601_FSC0_63.59580179781564_-126.46292081098139.tif,0.0,0.0029737926088273,rockies,216tcxve
LC09_20220601_FSC0_63.66577994109205000_-126.75110469701099.tif,0.0,0.0787087455391883,rockies,216tcxve
LC09_20220601_FSC100_62.04035087293904_-128.04657542362335.tif,0.0,1.6840323951328173e-05,rockies,216tcxve
LC09_20220601_FSC100_62.119464514344465_-127.06124751576114.tif,0.0,0.0004126974381506,rockies,216tcxve
LC09_20220601_FSC100_62.1638737182861_-126.18671681942135.tif,0.0,0.0012413058429956,rockies,216tcxve
LC09_20220601_FSC100_62.346168982088685_-127.21285458268186.tif,0.0,4.1658269765321165e-05,rockies,216tcxve
LC09_20220601_FSC100_62.46425075924468_-127.23135922918433.tif,0.0,0.0018158197635784,rockies,216tcxve
LC09_20220601_FSC100_62.74117720455269_-127.83799399489281.tif,0.0,2.0013902030768804e-05,rockies,216tcxve
LC09_20220601_FSC100_62.756773342141045_-126.3596412477801.tif,0.0,0.0002751096326392,rockies,216tcxve
LC09_20220601_FSC100_62.763096768181526_-126.38382543543841.tif,0.0,0.0022363329771906,rockies,216tcxve
LC09_20220601_FSC100_62.94186672254656_-127.74198920487426.tif,0.0,4.437792085809633e-05,rockies,216tcxve
LC09_20220601_FSC100_62.98155974088732_-129.1812839780114.tif,0.0,0.0001175710640382,rockies,216tcxve
LC09_20220601_FSC11_62.63471586863044_-125.60088963706427.tif,0.7446172206822863,0.1407420188188552,rockies,216tcxve
LC09_20220601_FSC11_63.32032164092958_-126.04150207190968.tif,0.7507566904886348,0.1518835872411728,rockies,216tcxve
LC09_20220601_FSC12_62.76188926577228_-126.75804224443428.tif,0.9094440453787744,0.0948164016008377,rockies,216tcxve
LC09_20220601_FSC14_62.75962704337051_-126.45118543835494.tif,0.9163639081648912,0.0957573652267456,rockies,216tcxve
LC09_20220601_FSC14_62.85107355059424_-127.89119491873375.tif,0.9716445221489992,0.0556261837482452,rockies,216tcxve
LC09_20220601_FSC15_62.86483846347481_-126.48187885824542.tif,0.8257947415053467,0.1422339677810669,rockies,216tcxve
LC09_20220601_FSC15_63.341571874835516_-125.86429482946468.tif,0.9617559626214645,0.0666964054107666,rockies,216tcxve
LC09_20220601_FSC16_63.84410150845041_-128.11493281028126.tif,0.9346726505155049,0.0902058482170105,rockies,216tcxve
LC09_20220601_FSC17_63.09006151172386_-127.083903991357230.tif,0.9158538396584784,0.1001318246126174,rockies,216tcxve
LC09_20220601_FSC18_63.13683650077514_-128.17155831369035.tif,0.926957724061248,0.0990023612976074,rockies,216tcxve
LC09_20220601_FSC1_63.40546097802058_-128.49901105235705.tif,0.7629852902376727,0.0515874624252319,rockies,216tcxve
LC09_20220601_FSC21_62.60079623665862_-128.8644809559888.tif,0.2036801531038985,0.3206809461116791,rockies,216tcxve
LC09_20220601_FSC21_63.24235744270556_-127.81283534145288.tif,0.8836563952796228,0.1304763555526733,rockies,216tcxve
LC09_20220601_FSC22_63.035131757740710_-127.23517215290404.tif,0.9122997085525186,0.1112267896533012,rockies,216tcxve
LC09_20220601_FSC24_63.03446072047654_-126.45127449774446.tif,0.9300714995427134,0.1097026839852333,rockies,216tcxve
LC09_20220601_FSC24_63.487319002344044_-127.41502807633758.tif,0.9840249735088646,0.0526629127562046,rockies,216tcxve
LC09_20220601_FSC24_63.559652027699805_-126.69093771640617.tif,0.8800043915567303,0.1356296688318252,rockies,216tcxve
LC09_20220601_FSC25_62.194405388787835_-128.8107666952586.tif,0.9145993027826512,0.1192277148365974,rockies,216tcxve
LC09_20220601_FSC27_63.40558096694659_-127.93782702554353.tif,0.9805949392508208,0.0602434873580932,rockies,216tcxve
LC09_20220601_FSC28_62.340899548246554_-128.80665710169697.tif,0.8965992509994639,0.1339326351881027,rockies,216tcxve
LC09_20220601_FSC29_62.38861959350329_-128.7024634442372.tif,0.8948542612152725,0.1390016227960586,rockies,216tcxve
LC09_20220601_FSC31_62.71017722372829_-125.71804716855253.tif,0.9302891822594376,0.1140749156475067,rockies,216tcxve
LC09_20220601_FSC31_62.99776555163588_-128.92861186842856.tif,0.6956765035209082,0.201077789068222,rockies,216tcxve
LC09_20220601_FSC31_62.99844795941342_-126.83943297831881.tif,0.880510167340263,0.1482547372579574,rockies,216tcxve
LC09_20220601_FSC31_63.685237509104354_-126.98549920568828.tif,0.9532768197048568,0.0938875824213028,rockies,216tcxve
LC09_20220601_FSC32_62.45731807405706_-128.62155471685614.tif,0.9648143121694888,0.0811526551842689,rockies,216tcxve
LC09_20220601_FSC33_62.68001100109032_-126.02202787352306.tif,0.9650791792344028,0.0817728415131568,rockies,216tcxve
LC09_20220601_FSC35_62.26242751487222_-127.51799559061737.tif,0.9398670653279756,0.1078788265585899,rockies,216tcxve
LC09_20220601_FSC35_63.27977439601566_-128.41162512048788.tif,0.9060510587774836,0.1307162046432495,rockies,216tcxve
LC09_20220601_FSC35_63.85937632183175_-128.1299782497365.tif,0.9781810581250088,0.0649635717272758,rockies,216tcxve
LC09_20220601_FSC39_62.46123296504572_-127.68034873751857.tif,0.9116820763248296,0.1362878978252411,rockies,216tcxve
LC09_20220601_FSC43_63.235663423999895_-127.79118482562654.tif,0.8149268582226397,0.1960020512342453,rockies,216tcxve
LC09_20220601_FSC44_62.998119632954676_-125.87426958034885.tif,0.8728724753600545,0.1620527505874633,rockies,216tcxve
LC09_20220601_FSC44_63.55857642982597_-127.60157049849987.tif,0.8336293544358716,0.1694749146699905,rockies,216tcxve
LC09_20220601_FSC45_63.86983774958871_-128.09792392384708.tif,0.8769051926035306,0.1657119542360305,rockies,216tcxve
LC09_20220601_FSC46_63.47467802570764_-128.25129128573795.tif,0.985325561243173,0.0578013733029365,rockies,216tcxve
LC09_20220601_FSC47_63.68447975164486_-128.4099745213702.tif,0.749956669084175,0.217459574341774,rockies,216tcxve
LC09_20220601_FSC47_63.79514790754633_-127.501369019781.tif,0.8598749569110241,0.1660243570804596,rockies,216tcxve
LC09_20220601_FSC48_62.67130741614106_-127.8869572250386.tif,0.9664574059288986,0.086278349161148,rockies,216tcxve
LC09_20220601_FSC48_62.829016613615394_-128.03495312361824.tif,0.9459429089267468,0.1110879927873611,rockies,216tcxve
LC09_20220601_FSC49_62.92017935917442_-128.09993820928338.tif,0.943247073435248,0.1123944967985153,rockies,216tcxve
LC09_20220601_FSC4_61.97982285232705_-127.08457822645681.tif,0.5902691573793326,0.1258187592029571,rockies,216tcxve
LC09_20220601_FSC4_63.132598748631_-127.58480102572813.tif,0.8216084501638332,0.0795869976282119,rockies,216tcxve
LC09_20220601_FSC4_63.319726296119825_-127.27107259125627.tif,0.5632288475045228,0.1284525990486145,rockies,216tcxve
LC09_20220601_FSC54_62.4582197446923_-125.9158803470736.tif,0.9713271596020652,0.0810137242078781,rockies,216tcxve
LC09_20220601_FSC56_62.58721438632247_-127.52991035275703.tif,0.8987364641734088,0.1405961513519287,rockies,216tcxve
LC09_20220601_FSC56_62.60822843487759_-127.49402153440322.tif,0.8837166406942267,0.1593001335859298,rockies,216tcxve
LC09_20220601_FSC56_62.69668645185557_-125.81253100374568.tif,0.9109851436944508,0.1295302063226699,rockies,216tcxve
